id,name,category,description,image_url,current_stock,cost_price,sale_price,supplier,isactive,brand
1,GK888T,Barcode Printer,"Desktop thermal printer supporting direct thermal and thermal transfer printing, designed for reliable barcode label and tag printing in retail, logistics, and office environments.",assets/product_images/GK888T.png,1,210.00,310.00,,1,"Zebra "
2,Orbit 7120,Barcode Scanner,Hands-free omnidirectional barcode scanner built for high-volume retail POS use. Offers fast and accurate 1D barcode scanning with an adjustable scan head to easily handle items of different sizes.,assets/product_images/Orbit 7120.png,0,105.00,210.00,,1,
3,CP-Q5,Thermal Receipt Printer,"Compact 3-inch thermal receipt printer designed for POS environments, offering fast and reliable printing with an automatic cutter and support for common POS connectivity options.",assets/product_images/CP-Q5.png,5,65.00,130.00,,1,Birch
4,USR5639,Usb Dial-Up Modem,"56K USB soft modem designed for dial-up internet and fax communication, supporting V.92/V.90 standards with plug-and-play installation. Includes Caller ID support for incoming calls when used with compatible phone service and drivers.",assets/product_images/USR5639.png,1,0.00,0.00,,1,USRobotics
5,Dual-Port USB 56K Modem,Usb Dial-Up Modem,,,2,0.00,0.00,,1,USRobotics
6,GS-405A,Cash Drawer,"Durable POS cash drawer designed for reliable cash management in retail and hospitality environments, featuring multiple bill and coin compartments, robust locking mechanisms, and compatibility with POS systems via RJ11/RJ12 or USB interfaces",assets/product_images/GS-405A.png,7,30.00,60.00,,1,GSAN
7,VFD-450,Customer Display,"Vacuum fluorescent POS customer display with a 20×2 character screen, adjustable viewing angle, and serial/USB connectivity for showing transaction details at checkout.",assets/product_images/VFD-450.png,0,39.00,80.00,,1,Komplex
8,DSP-880VF-B,Customer Display,"VFD POS customer display with a 2×20 character vacuum fluorescent screen and USB/RS232 connectivity, designed to show transaction totals and messages at the point of sale.",assets/product_images/DSP-880VF-B.png,1,0.00,0.00,,1,Codeware
9,LaserJet M111a,Laser Printer,"Monochrome laser printer offering fast and reliable black-and-white printing up to ~20–21 pages per minute with USB connectivity, compact design ideal for home or small office use, and a standard input tray supporting up to ~150 sheets.",assets/product_images/LaserJet M111a.png,0,81.00,170.00,,1,HP
10,4500,Fingerprint Reader,"Optical USB fingerprint reader designed for secure biometric authentication, offering high-quality fingerprint image capture and compatibility with HID DigitalPersona software for desktop and POS environments.",assets/product_images/4500.png,1,0.00,0.00,,1,HID DigitalPersona
11,5160,Fingerprint Reader,"FIPS-certified optical USB fingerprint reader with rugged IP64-rated housing, high-resolution image capture, and integrated status LEDs, designed for secure biometric authentication and identity verification in desktop and enterprise environments.",assets/product_images/5160.png,9,0.00,0.00,,1,HID DigitalPersona
12,ZK-MSR,Magnetic Stripe Card Reader,"USB magnetic stripe card reader supporting bidirectional swipe, hardware decoding, and plug-and-play operation for reading ISO standard mag-stripe cards in POS, VIP management, and query systems.",assets/product_images/ZK-MSR.png,4,35.00,70.00,,1,ZKTeco
13,S30GD,Monitor,"24-inch Full HD IPS monitor with 100 Hz refresh rate, designed for smooth visuals and everyday productivity.",assets/product_images/S30GD.png,0,80.00,160.00,,1,Samsung
14,Wood-Free,Paper Roll,"High-quality wood-free paper roll suitable for impact and dot-matrix printers, offering clear printing and improved durability for receipts and reports.",assets/product_images/Wood-Free.png,5,0.00,0.00,,1,Generic
15,Thermal,Paper Roll,"Heat-sensitive thermal paper roll used with thermal receipt printers, delivering fast, ink-free printing for POS and billing applications.",assets/product_images/Thermal.png,1,0.00,0.00,,1,Generic
16,2-Ply,Paper Roll,"Two-ply paper roll designed for impact and dot-matrix receipt printers, providing a duplicate copy for record keeping in retail and hospitality environments.",assets/product_images/2-Ply.png,1,0.00,0.00,,1,Generic
